Value,Description,Recommended,Reference
0xF600-0xF603,Reserved for backward compatibility,,[RFC8446]
0xF604-0xF6FF,Unassigned,,
0xF700-0xF703,Reserved for backward compatibility,,[RFC8446]
0xF704-0xF7FF,Unassigned,,
0xF800-0xF803,Reserved for backward compatibility,,[RFC8446]
0xF804-0xF8FF,Unassigned,,
0xF900-0xF903,Reserved for backward compatibility,,[RFC8446]
0xF904-0xF9FF,Unassigned,,
0xFA00-0xFA03,Reserved for backward compatibility,,[RFC8446]
0xFA04-0xFAFF,Unassigned,,
0xFB00-0xFB03,Reserved for backward compatibility,,[RFC8446]
0xFB04-0xFBFF,Unassigned,,
0xFC00-0xFC03,Reserved for backward compatibility,,[RFC8446]
0xFC04-0xFCFF,Unassigned,,
0xFD00-0xFD03,Reserved for backward compatibility,,[RFC8446]
0xFD04-0xFDFF,Unassigned,,
0xFE00-0xFFFF,Reserved for Private Use,,[RFC8446]
