Value,Description,Reference,Notes
fa.lnk,Resource type for the Fairhair Linkage resource,[Fairhair Alliance specification section 5.5.2],
fa.rd-id,Resource type for the Fairhair resource that Identifies the resource which configures and manages RD identity information,[Fairhair Alliance specification section 4.6.1.5],
oic.d.activitytracker,Activity Tracker device.,[OCF_Device_Specification_v2.0.5 clause A.2],
oic.d.ams,Access Management Service.,[OCF_Device_Specification_v2.0.5 clause A.2],
oic.d.cgm,Continuous Glucose Meter device.,[OCF_Device_Specification_v2.0.5 clause A.2],
oic.d.circuitbreaker,Circuit Breaker device.,[OCF_Device_Specification_v2.0.5 clause A.2],
oic.d.cms,Credential Management Service.,[OCF_Device_Specification_v2.0.5 clause A.2],
oic.d.cyclingcadencesensor,Cycling cadence sensor device.,[OCF_Device_Specification_v2.0.5 clause A.2],
oic.d.cyclingpowermeter,Cycling power meter device.,[OCF_Device_Specification_v2.0.5 clause A.2],
oic.d.cyclingspeedsensor,Cycling speed sensor device.,[OCF_Device_Specification_v2.0.5 clause A.2],
oic.d.dots,Device Ownership Transfer Service.,[OCF_Device_Specification_v2.0.5 clause A.2],
oic.d.energymonitor,Energy Monitor device.,[OCF_Device_Specification_v2.0.5 clause A.2],
oic.d.heartratemonitor,Heart Rate Monitor device.,[OCF_Device_Specification_v2.0.5 clause A.2],
oic.d.inverter,Inverter device.,[OCF_Device_Specification_v2.0.5 clause A.2],
oic.d.pulseoximeter,Pulse Oximeter device.,[OCF_Device_Specification_v2.0.5 clause A.2],
oic.d.pvarraysystem,Photovoltaic Array System device.,[OCF_Device_Specification_v2.0.5 clause A.2],
oic.d.sleepmonitor,Sleep Monitor device.,[OCF_Device_Specification_v2.0.5 clause A.2],
oic.d.waterpurifier,Water Purifier device.,[OCF_Device_Specification_v2.0.5 clause A.2],
oic.r.activity,Activity resource.,[OCF_Resource_Type_Specification_v2.0.5 clause 6.127],
oic.r.activitytracker-am,"Activity tracker measurement with activity, heart rate, etc.",[OCF_Resource_Type_Specification_v2.0.5 clause 6.128],
oic.r.alarm,Alarm resource.,[OCF_Resource_Type_Specification_v2.0.5 clause 6.129],
oic.r.alert,Alerts resource type,[OCF_Core_Optional_Specification_v2.0.5 clause A.10],
oic.r.alertcollection,Alerts Collection resource type,[OCF_Core_Optional_Specification_v2.0.5 clause A.11],
oic.r.cadence,Cadence resource.,[OCF_Resource_Type_Specification_v2.0.5 clause 6.144],
oic.r.calorificvalue,Energy associated with the consumption of various fuels.,[OCF_Resource_Type_Specification_v2.0.5 clause 6.116],
oic.r.cgm.calibrate,Continuous Glucose Meter calibration resource.,[OCF_Resource_Type_Specification_v2.0.5 clause 6.131],
oic.r.cgm.samplinginterval,Continuous Glucose Meter sampling interval resource.,[OCF_Resource_Type_Specification_v2.0.5 clause 6.132],
oic.r.cgm.sensor,Continuous Glucose Meter sensor resource.,[OCF_Resource_Type_Specification_v2.0.5 clause 6.133],
oic.r.cgm.status,Continuous Glucose Meter status resource.,[OCF_Resource_Type_Specification_v2.0.5 clause 6.134],
oic.r.cgm.threshold,Continuous Glucose Meter threshold resource.,[OCF_Resource_Type_Specification_v2.0.5 clause 6.135],
oic.r.cgm-am,"Resource for glucose, sensor, time, and user data.",[OCF_Resource_Type_Specification_v2.0.5 clause 6.130],
oic.r.circuitbreaker,Circuit Breaker resource.,[OCF_Resource_Type_Specification_v2.0.5 clause 6.145],
oic.r.conversionfactor,Property used in calculating conversions.,[OCF_Resource_Type_Specification_v2.0.5 clause 6.117],
oic.r.cyclingpower,Cycling power resource.,[OCF_Resource_Type_Specification_v2.0.5 clause 6.146],
oic.r.gas.consumption,Energy values associated with gas consumption.,[OCF_Resource_Type_Specification_v2.0.5 clause 6.118],
oic.r.gas.usage,Cumulative time-based gas usage query.,[OCF_Resource_Type_Specification_v2.0.5 clause 6.119],
oic.r.heartrate,Heart rate resource.,[OCF_Resource_Type_Specification_v2.0.5 clause 6.136],
oic.r.heartratemonitor-am,"Resource for heart rate, time, and user data.",[OCF_Resource_Type_Specification_v2.0.5 clause 6.137],
oic.r.iaszone,"Resource that includes iaszoneinfo, battery, and power source information",[OCF_Resource_Type_Specification_v2.0.5 clause 6.125],
oic.r.iaszoneinfo,Intruder Alert System (IAS) Zone information resource,[OCF_Resource_Type_Specification_v2.0.5 clause 6.124],
oic.r.impactsensor,Impact sensor resource.,[OCF_Resource_Type_Specification_v2.0.5 clause 6.120],
oic.r.inverter,Inverter resource.,[OCF_Resource_Type_Specification_v2.0.5 clause 6.147],
oic.r.keypadchar,Character keypad resource.,[OCF_Resource_Type_Specification_v2.0.5 clause 6.121],
oic.r.opaquedata,Opaque data transferred and uninterpretable at endpoints.,[OCF_Resource_Type_Specification_v2.0.5 clause 6.122],
oic.r.pulsatilecharacteristic,Pulsatile characteristic of the pulsative wave of a pulse oximeter.,[OCF_Resource_Type_Specification_v2.0.5 clause 6.138],
oic.r.pulsatileoccurrence,Pulsatile occurrence of a pulse oximeter.,[OCF_Resource_Type_Specification_v2.0.5 clause 6.139],
oic.r.pulseoximeter-am,"Resource for SpO2, pulse data, observed time, and user data.",[OCF_Resource_Type_Specification_v2.0.5 clause 6.140],
oic.r.pvconnectionterminal,Photovoltaic connection terminal resource.,[OCF_Resource_Type_Specification_v2.0.5 clause 6.148],
oic.r.sleep,Sleep resource.,[OCF_Resource_Type_Specification_v2.0.5 clause 6.141],
oic.r.sleepmonitor-am,Resource for sleep stages and sleep score data.,[OCF_Resource_Type_Specification_v2.0.5 clause 6.142],
oic.r.softwareupdate,Software Update resource type,[OCF_Core_Optional_Specification_v2.0.5 clause A.12],
oic.r.sp,Security Profile,[OCF_Security_Specification_v2.0.5 clause 14.8],
oic.r.speed,Speed resource.,[OCF_Resource_Type_Specification_v2.0.5 clause 6.149],
oic.r.spo2,Blood oxygen saturation level resource.,[OCF_Resource_Type_Specification_v2.0.5 clause 6.143],
oic.r.torque,Torque resource.,[OCF_Resource_Type_Specification_v2.0.5 clause 6.150],
oic.r.userid,User identification resource.,[OCF_Resource_Type_Specification_v2.0.5 clause 6.123],
oic.r.vodlist,Virtual OCF Device resource.,[OCF_Bridging_Specification_v2.0.5 clause 5.5],
oic.r.waterinfo,Water information resource.,[OCF_Resource_Type_Specification_v2.0.5 clause 6.151],
oic.r.windowcovering,Configurable window covering resource,[OCF_Resource_Type_Specification_v2.0.5 clause 6.126],
ace.est.crts,This resource depicts the support of EST get cacerts.,[RFC-ietf-ace-coap-est-18],
ace.est.sen,This resource depicts the support of EST simple enroll.,[RFC-ietf-ace-coap-est-18],
ace.est.sren,This resource depicts the support of EST simple reenroll.,[RFC-ietf-ace-coap-est-18],
ace.est.att,This resource depicts the support of EST get CSR attributes.,[RFC-ietf-ace-coap-est-18],
ace.est.skg,"This resource depicts the support of EST server-side key 
generation with the returned certificate in a PKCS#7 container.",[RFC-ietf-ace-coap-est-18],
ace.est.skc,"This resource depicts the support of EST
server-side key generation with the returned certificate in application/pkix-cert format.",[RFC-ietf-ace-coap-est-18],
oic.d.bodycompositionanalyser,Body Composition Analyser device,[OCF Device Specification v2.1.2 clause A.2],
oic.d.indoorgarden,Indoor Garden device,[OCF Device Specification v2.1.2 clause A.2],
oic.d.mattress,Mattress device,[OCF Device Specification v2.1.2 clause A.2],
oic.d.muscleoxygenmonitor,Muscle Oxygen Monitor device,[OCF Device Specification v2.1.2 clause A.2],
oic.r.ael,Auditable Event List,[OCF Security Specification v2.1.2 clause C.9],
oic.r.bodycompositionanalyser-am,Body Composition Analyser resource,[OCF Resource Type Specification v2.1.2 clause 6.155],
oic.r.deodorization,Deodorization resource,[OCF Resource Type Specification v2.1.2 clause 6.152],
oic.r.hvac.capacity,HVAC Capacity resource,[OCF Resource Type Specification v2.1.2 clause 6.157],
oic.r.keycardswitch,Keycard Switch resource,[OCF Resource Type Specification v2.1.2 clause 6.153],
oic.r.media.audio,Media (Audio) resource,[OCF Resource Type Specification v2.1.2 clause 6.158],
oic.r.media.core,Media (Core) resource,[OCF Resource Type Specification v2.1.2 clause 6.159],
oic.r.media.image,Media (Image) resource,[OCF Resource Type Specification v2.1.2 clause 6.160],
oic.r.media.text,Media (Text) resource,[OCF Resource Type Specification v2.1.2 clause 6.161],
oic.r.media.video,Media (Video) resource,[OCF Resource Type Specification v2.1.2 clause 6.162],
oic.r.muscleoxygensaturation,Muscle Oxygen Saturation resource,[OCF Resource Type Specification v2.1.2 clause 6.154],
oic.r.switch.fault,Fault Interrupter resource,[OCF Resource Type Specification v2.1.2 clause 6.156],
oic.r.switch.restricted,Restricted Switch resource,[OCF Resource Type Specification v2.1.2 clause 6.163],
oic.d.afci,Arc Fault Circuit Interrupter,[OCF Device Specification v2.2.0 clause A.2],
oic.d.airer,Airer,[OCF Device Specification v2.2.0 clause A.2],
oic.d.gfci,Ground Fault Circuit Interrupter,[OCF Device Specification v2.2.0 clause A.2],
oic.r.sdi,Security Domain Information,[OCF Security Specification v2.2.0 clause C.10],
oic.r.settings.accessibility,Device Settings - Accessibility,[OCF Resource Type Specification v2.2.0 clause 6.164],
oic.r.settings.broadcasting,Device Settings - Broadcasting,[OCF Resource Type Specification v2.2.0 clause 6.165],
oic.r.settings.picture,Device Settings - Picture,[OCF Resource Type Specification v2.2.0 clause 6.166],
oic.r.settings.sound,Device Settings - Sound,[OCF Resource Type Specification v2.2.0 clause 6.167],
oic.r.settings.support,Device Settings - Support,[OCF Resource Type Specification v2.2.0 clause 6.168],
oic.r.settings.system,Device Settings - System,[OCF Resource Type Specification v2.2.0 clause 6.169],
oic.r.sensor.measurement,Generic Measurement Sensor,[OCF_Resource_Type_Specification_v2.2.2 clause 6.170],
oic.r.sensor.radiation.uva,UVA Radiation,[OCF_Resource_Type_Specification_v2.2.2 clause 6.171],
oic.r.sensor.radiation.uvb,UVB Radiation,[OCF_Resource_Type_Specification_v2.2.2 clause 6.172],
oic.r.colour.renderingindex,Colour Rendering Index,[OCF_Resource_Type_Specification_v2.2.2 clause 6.173],
oic.r.sound.pressure,Sound Pressure in Pascal,[OCF_Resource_Type_Specification_v2.2.2 clause 6.174],
oic.r.sound.pressurelevel,Sound Pressure Level in dB,[OCF_Resource_Type_Specification_v2.2.2 clause 6.175],
oic.r.location.civic,Civic Location,[OCF_Resource_Type_Specification_v2.2.2 clause 6.176],
ace.ai,ACE-OAuth authz-info endpoint resource.,[RFC-ietf-ace-oauth-authz-43],
