Number,Organization,Contact Information
816,TL Holdings LLC,[Terry_L_Carpenter_Jr]
817,TherapyGym LLC,[Terry_L_Carpenter_Jr_2]
818,Amity Concepts LLC,[Terry_L_Carpenter_Sr]
819,CyberRose LLC,[James_A_Rothenberger_3]
820,eSys Technologies Pte Ltd,[Sanjeev_Gupta]
821,Elite Fusion Corp.,[Elite_Fusion_Corp]
822,Zara Technology Pte Ltd,[Christopher_Harvey]
823,Patel.Com,[Pravin_Patel]
824,"IC Designs, LLC",[Greg_Probst]
825,Dialogic Corporation,[Martyn_Davies]
826,Mike Schultz,[Mike_Schultz]
827,Lars Lehtonen,[Lars_Lehtonen]
828,PatelPhone.Com,[Pravin_Patel]
829,Clickatell (Pty) Ltd,[Patrick_Lawson]
830,Nassar Nassar,[Nassar_Nassar]
831,"Fry Consulting, Inc.",[Peter_J_Fry]
832,Stan Burek,[Stan_Burek]
833,Ben Clifford,[Ben_Clifford]
834,Arthur Alkhasyan,[Arthur_Alkhasyan]
835,Mike Howland,[Mike_Howland]
836,Muhammad Samir,[Muhammad_Samir]
837,James Blackwell,[James_Blackwell]
838,internetphone.dk,[Peter_Bystrup_Jensen]
839,Oswald Smith,[Oswald_Smith]
840,Torfinn Nome,[Torfinn_Nome]
841,"Argibel Servicios Digitales,S.L",[Esteban_Baron]
842,"Bit Refinery, LLC",[Brandon_Hieb]
843,"Elliot-Cain Systems, LLC",[S_Garnett]
844,XConnect Global Networks,[David_Schwartz]
845,Yort Labs LLC,[Troy_Davis]
846,"Freeside Internet Services, Inc.",[Ivan_Kohler]
847,"Concert Telecommunications, Inc.",[Paul_Sullivan]
848,"PPSI-UI B, Gd. A, Faculty of Computer Science, University of Indonesia",[Agus_Awaludin]
849,Instituto Politécnico de Lisboa,[Pedro_Ribeiro]
850,Orbital Telecom,[Aled_Morris]
851,"Asociace operatoru digitalni telefonie, z.s.p.o.",[Roman_Vithous_2]
852,Rail City Internet,[Ken_Johnson]
853,Canphone International,[David_Chappell]
854,OpenDNS,[Bill_Fumerola]
855,Attron Corporation,[Tony_Weasler]
856,"CNET Networks, Inc.",[Steven_Feldman]
857,Tony3.com,[Tony_Weasler_III]
858,mdeleo.com,[Michael_De_Leo]
859,Brillig.org,[Alex_Derbes]
860,Brawijaya University,[R_Arief_Setyawan]
861,Dragan Mickovic,[Dragan_Mickovic]
862,Linode LLC,[Michael_Greb]
863,Haagenti Group Inc.,[Haagenti_Group_Inc]
864,Manor Group,[Christopher_Maxwell]
865,Wyoming.com,[Corey_Edwards]
866,Kyle Sexton,[Kyle_Sexton]
867,Vonage,[Anthony_Elizondo]
868,Idiosyntactix Research Laboratories,[William_Waites]
869,Jon Maul,[Jon_Maul]
870,groupenable.com,[Tim_Ake]
871,Infradapt LLC,[Corey_McFadden]
872,Roland McIntosh,[Roland_McIntosh]
873,HDDLAB Data Recovery Company,[Jose_Muanes_Pinto]
874,PT. IP Teknologi Komunikasi,[Agus_Priyadi]
875,Puskom ITS,[Kamas_Muhammad]
876,Calport Technologies,[Niel_Hirjee]
877,GlobNIX,[Phil_Pennock]
878,Tyco Electronics Corporation,[John_Kilheffer]
879,Potez Aeronautique,[Pierre_Luc_Garcia]
880,0cpm,[Rick_van_Rein]
881,Universita' di Modena e Reggio Emilia,[Massimo_Vignone]
882,LS4 Radio Continental S.A.,[Carlos_Robotti]
883,Banco BPI,[Fernando_Nunes]
884,Mollificio Valli Srl,[Alex_Lamperti]
885,BECI,[Scott_Lathrom]
886,"Electronic Engineering Polytechnic
                Institute of Surabaya Politeknik Elektronika Negeri Surabaya
                Kampus ITS Keputih Sukolilo",[Sritrusta_Sukaridhoto]
887,TheHowertons.Net,[Ryan_V_Howerton]
888,Liberty Pop Warner,[Ryan_V_Howerton_2]
889,Larry Matter,[Larry_Matter]
890,Nortel - ESCS,[Nortel_SCS]
891,cybershroud.net,[Carlos_Flor]
892,"Pinnacle Data Systems, Inc.",[Help_Desk]
893,"Axecom Telecom, LLC",[Joe_Atkins]
894,Christopher Brentano,[Christopher_Brentano]
895,MFA Organization,[ITAD_Administrator]
896,Their Network Consortium,[ITAD_Administrator_2]
897,"IP Carrier Telecom, INC.",[Jefferson_Carvalho]
898,B4mad.Net,[Christoph_Goern]
899,Hrishikesh Kulkarni,[Hrishikesh_Kulkarni]
900,DialSIP.net,"[DialSIP.net <itadsupport&dialsip.net>
                22 April 2008
            ]"
901,SineSoft Pavel Troller,[Pavel_Troller]
902,Shannon Price,[Shannon_Price]
903,SIP:XX Communications,[Karl_Brose]
904,Jonathan Domen,[Jonathan_Domen]
905,Promidata,[Thomas_Langer]
906,Monterey Bay Mortgage,[Forrest_Cambell]
907,Ilya Goldin,[Ilya_Goldin]
908,Norman Zimon,[Norman_Zimon]
909,Communication Network Systems Ltd.,[Stephen_Karam]
910,KE7TOP,[Ken_Johnson]
911,Reset Internet Services,[Darren_Noonan]
912,Reveal.ca Inc.,[Jakob_Esau]
913,John Beatty,[John_Beatty]
914,Sip611.com,[Franz_Garmendia]
915,Alan Denby,[Alan_Denby]
916,Norkis Group of Companies,[Edwin_Casinillo]
917,Legoe Bay Wireless,[Robert_Keller]
918,Sanjoy Rath,[Sanjoy_Rath]
919,Mamatamayee Mahapatra,[Mamatamayee_Mahapatra]
920,GigaMax Company,[Ali_Ghazizadeh]
921,Dorian Gray,[Dorian_Gray]
922,Roshan Sembacuttiaratchy,[Roshan_Sembacuttiaratchy]
923,Christopher Dobbs,[Christopher_Dobbs]
924,podtwo,[Sebastian_Robinson]
925,MacIver Consulting,[David_MacIver]
926,"Agence universitaire de la Francophonie, Ressources Informatique",[Thomas_Noel]
927,Eric Stern,[Eric_Stern]
928,L337 Systems,[Robert_Perkins]
929,ZipDX LLC,[David_Frankel]
930,"Zuxy Haiduc, LLC",[Zuxy_Haiduc]
931,Roberto Sanglay,[Roberto_Sanglay]
932,Russell Bryant,[Russell_Bryant]
933,Jorge Vazquez,[Jorge_Vazquez]
934,Marvin Jose Villamor,[Marvin_Jose_Villamor]
935,USA Datanet,[Christopher_Aloi]
936,Hans Kalldal,[Hans_Kalldal]
937,Chad Skeeters,[Chad_Skeeters]
938,Lily Wong,[Lily_Wong]
939,Chris Northcott,[Chris_Northcott]
940,The Organization for Infrastructure Security,[David_von_Vistauxx]
941,Pleasant View Retirement,[Keith_Hoover]
942,Melcon Moraes,[Melcon_Moraes]
943,Dennis Warner,[Dennis_Warner]
944,N. Jennifer Breedlove,[N_Jennifer_Breedlove]
945,"Lukins and Annis, P.S.",[Terry_Moore-Read]
946,James Lemke,[James_Lemke]
947,"XELATEC, LLC",[Steven_Henke]
948,Simon Brunette,[Simon_Brunette]
949,Terry Moore-Read,[Terry_Moore-Read_2]
950,Al Gatton,[Al_Gatton]
951,David Fear,[David_Fear]
952,Michael Irvine,[Michael_Irvine]
953,"Verticomm Technologies, Inc.",[Dan_Rau]
954,21st Century Software,[John_Antypas]
955,Y3K India,[Vishal_Chadha]
956,"SJB Communications, LLC",[Sacha_Bernstein]
957,CodeCafe,[Taylor_Carpenter]
958,Institut Teknologi Bandung,[Dian_Dwi_Nugraha]
959,Airwave-Communications,[Michael_Perkins]
960,Richard Boisvert,[Richard_Boisvert]
961,SpiderVoice Inc.,[Zuber_Patel]
962,Abdul Majid,[Abdul_Majid]
963,Hospice House,[Tony_Graziano]
964,Marco Pescosolido,[Marco_Pescosolido]
965,Helmuth Ramos,[Helmuth_Ramos]
966,Adolfo Rolando Salazar,[Adolfo_Rolando_Salazar]
967,Az.StarNet LLC,[Elnour_Mammadov]
968,Tessera Group Plc,[Julian_Lyndon-Smith]
969,Mike Diehl,[Mike_Diehl]
970,SigSegV Canada,[Justin_Givens]
971,"New Systems, Inc.",[Stanislav_Gorobchuk]
972,Brring,[Tim_Carter]
973,Chris Stephens,[Chris_Stephens]
974,Camara Municipal de Boticas,[Pedro_Pereira]
975,Camara Municipal de Chaves,[Pedro_Pereira]
976,Camara Municipal de Montalegre,[Pedro_Pereira]
977,Camara Municipal de Ribeira de Pena,[Pedro_Pereira]
978,Camara Municipal de Valpacos,[Pedro_Pereira]
979,Camara Municipal de Vila Pouca de Aguiar,[Pedro_Pereira]
980,Associacao de Municipios do Alto Tamega,[Pedro_Pereira]
981,Empreendimentos Hidroelectricos do Alto Tamega e Barroso S.A.,[Pedro_Pereira]
982,RESINORTE – Valorização e Tratamento de Resíduos Sólidos S.A.,[Pedro_Pereira]
983,Associacion Cooperativa Innovatel Sistemas de Venezuela a R.L.,[Carlo_Borelli]
984,Rednote Services,[Janina_Sajka]
985,Sean Callinan,[Sean_Callinan]
986,Maxim Samo,[Maxim_Samo]
987,"Dialect Technologies, Inc",[Sakis_Karakitsos]
988,"Sika Portugal - Produtos Construção e Indústria, SA - Gaia",[Pedro_Pereira]
989,"Sika Portugal - Produtos Construção e Indústria, SA - Ovar",[Pedro_Pereira]
990,"Sika Portugal - Produtos Construção e Indústria, SA - Lisboa",[Pedro_Pereira]
991,Computers for Marketing Corporation,[Jim_Dickenson]
992,AcroNOC,[Jamyn_Shanley]
993,Godspeed Bin,[Godspeed_Bin]
994,WFA DEVELOPMENT GROUP SDN. BHD.,[Tony_Tan]
995,Inno-vision International Ltd.,[Francis_Wong]
996,www.waterfilter.com.my,[Eddie_Ho]
997,www.noFREEvoip.com,[Lee_Kam_Foong]
998,Dalete Design LTDA,[Elias_Carneiro_de_Oliveira]
999,The Turing Project,[Jon_Gefaell]
1000,Wherry Systems LLC,[Phillip_Wherry]
1001,Jim Friel,[Jim_Friel]
1002,Grant Stephenson,[Grant_Stephenson]
1003,Wizzl.com,[Patrick_D_Glass]
1004,SCK Ltd,[Steven_King]
1005,Edward P Kim,[Edward_P_Kim]
1006,Gracestone,[Walt_Stoneburner]
1007,Dirk Leas,[Dirk_Leas]
1008,Cal-Ore Telephone,[Charles_J_Boening]
1009,Sargun Dhillon,[Sargun_Dhillon]
1010,"The Company, LLC",[Host_Master]
1011,"The Company, LLC",[Host_Master]
1012,PRMG,[Marc_Storck_2]
1013,vfone.ie,[Asif_Syed]
1014,Preston Marshall,[Preston_Marshall]
1015,"Concipient, Inc.",[Trevor_Hammonds]
1016,Freeway Projects Limited,[Neil_Stone]
1017,"Modev, Inc.",[Clifford_Wagner]
1018,"The OpenNMS Group, Inc.",[Jeff_Gehlbach]
1019,estacado.net,[Adam_Roach]
1020,Adam Roach,[Adam_Roach_2]
1021,Michael Procter,[Michael_Procter]
1022,Uraeus,[Joseph_Malcolm]
1023,Michael Francois,[Michael_Francois]
1024,"JDL Industries, Inc.",[Ricardo_Arroyo]
1025,Tallumbrella Inc,[Marlon_Espares]
1026,Ashtonbrooke LLC,[Brough_Turner]
1027,"Arrowhead Transportation Services, Inc",[David_Gagnon]
1028,"BSD Telecom, Inc.",[J.R._Tunney]
1029,Inventa Technology Pty Ltd,[Paul_Simon]
1030,Tim Akinbo,[Tim_Akinbo]
1031,Illinois Institute of Technology (IIT),[Ifeoluwa_Kehinde]
1032,Brewer Acquisitions,[Evan_Brewer]
1033,"Kestrel Signal Processing, Inc.",[David_Burgess]
1034,Scott Lawrence,[Scott_Lawrence_3]
1035,"Solution Sciences, Inc.",[Gene_Kochanowsky]
1036,Pierre Calleros,[Pierre_Calleros]
1037,Full Circle Data Systems Corporation,[Dan_Ouellet]
1038,Prima-Ballerina.Com,[Dan_Ouellet]
1039,Prima-Ballerina.Net,[Dan_Ouellet]
1040,Ouellet Consulting Inc.,[Dan_Ouellet]
1041,Joseph Ong,[Joseph_Ong]
1042,GoldMoney,[Rick_van_Rein_2]
1043,"Eightbits Digital, Inc.",[Alexander_Ginzburg]
1044,E.W. van der Rijst,[E.W._van_der_Rijst]
1045,"rfEngineers, Inc.",[Mauricio_Tavares]
1046,Michael Stanford,[Michael_Stanford]
1047,Camara Municipal de Fafe,[Pedro_Pereira]
1048,ypOne Enterprises US Inc.,[Junaid_Jeewa]
1049,"Xantek, Inc.",[William_Neely]
1050,TeleSA Telecom SA,[Juliao_Braga]
1051,Pegasus Telecom,[Juliao_Braga_2]
1052,IBL Telecom,[Eder_Zagui]
1053,Teleon Telecom,[Eugenio_Maia_Fonte_Boa]
1054,SS7 Technologies,[Jakub_Klausa]
1055,cofc.us,[Gil_Yoder]
1056,DataFlip,[Ben_Speckien]
1057,Pinto Viana - Escritório de Advogados,[Pedro_Pereira]
1058,Valsousa - Comunidade Urbana do Vale do Sousa,[Pedro_Pereira]
1059,Gordon Justice,[Gordon_Justice]
1060,Mauricio Faria,[Mauricio_Faria]
1061,PBX in a Flash,[Ward_Mundy_2]
1062,"Tianjin AOLE New Technologies Company, Ltd.",[James_Zhang]
1063,Gotel Technologies,[Craig_Goss]
1064,NextStag Communications PRivate Limited,[Ashutosh_Kumar]
1065,Tntaos,[Martin_Dimas]
1066,KMBNet Systems,[Kevin_Bednar]
1067,Rapoport Family dot Com,[Asaf_Rapoport_2]
1068,Complete Tech Solutions,[Nathan_Peters]
1069,GDNS LLC,[Ashley_Brandwood]
1070,TENETO Consulting sp. z o.o.,[Michal_Kotnowski]
1071,rotornet.net,[Patrick_Pointu]
1072,Power Telecom,[Gary_Clarke]
1073,HCC Global,[Geoffrey_Cleaves]
1074,Sipero.com,[Jonathan_Hamon]
1075,"Timeworks, LLC.",[Henry_Tolino]
1076,hjm productions,[Henk_Maaijen]
1077,ULTRADYNA TECHNOLOGIES LTD.,[Jian_Gao]
1078,Bill Merriam,[Bill_Merriam]
1079,Prescott Consulting,[Kelly_Prescott]
1080,"Amaxama, SP",[Fred_Pietzsch]
1081,TelePixie,[Michael_Glassberg]
1082,"Inland I.T. Solutions, LLC",[Michael_Ruge]
1083,knects.net,[Steven_Porter]
1084,Sems,[Remzi_Semsettin_Turer]
1085,MyDean.com,[Dennis_Limosnero]
1086,INFOVI srl,[Marco_Ceccon]
1087,"Adhearsion, LLC",[Jason_Goecke]
1088,Bosola Owolabi,[Bosola_Owolabi]
1089,Nerd Vittles,[Ward_Mundy_2]
1090,Jason Brockman,[Jason_Brockman]
1091,Andy Gee,[Andy_Gee]
1092,"McKee, Voorhees and Sease, P.L.C.",[Nathan_Smith]
1093,Yoengsen Liem,[Yoengsen_Liem]
1094,Farmingdale - Howell Emergency Services,[David_Matyas]
1095,Emerald Forest Computer Services,[Erik_Perrohe]
1096,FranzGarmendia.com,[Franz_Garmendia]
1097,J. Anil Kumar,[J._Anil_Kumar]
1098,Global Wire Oy,[Kimmo_Suominen]
1099,Y3K Enterprises Ltd,[Daniel_Ambler]
1100,"Southern Telecommunications Co., LLC",[Max_Tullos]
1101,Stofeganet,[Mark_Stofega]
1102,Hatzopoulos Group,[Tom_Hatzopoulos]
1103,Planettel Asia Pacific Pte Ltd,[Festus_Thomas]
1104,Jeff Gaedke,[Jeff_Gaedke]
1105,Brownhare Group LLC,[James_Brunette]
1106,Kestral Computing Pty Ltd.,[Andrew_Cumming]
1107,Christoph Frei,[Christoph_Frei]
1108,Team Forrest,[Fred_Posner]
1109,Kevin Lynn,[Kevin_Lynn]
1110,VoiceSpin,[Meir_Grinspun]
1111,www.doc4child.com,[Jaimin_Patel]
1112,WebKontrol,[W._Scott_Morris]
1113,veejoe.net,[Vic_Cross]
1114,Innotronic Ingenieurbüro GmbH,[Innotronic_Ingenieurbüro_GmbH]
1115,AnalyCIS,[Jonathan_Moore]
1116,Cache Valley Center for the Arts,[Wallace_Bloss]
1117,Crownpace.com,[Prince_Adeyemi]
1118,Rich Fuller,[Rich_Fuller]
1119,Vienna Christian School,[Wolf_N._Paul]
1120,Skyfla Informatica di Flavio Ficarra,[Riccardo_Capra]
1121,"Appriss, Inc.",[Kevin_Bushong]
1122,"DJH Solutions, LLC",[Darrick_Hartman]
1123,.e4 LLC,[Michael_White]
1124,"INSS, LLC",[Carter_Manucy]
1125,crystalorb.net,[Mike_Mammarella]
1126,AEGEE-Europe,[Philipp_von_Klitzing]
1127,Qontix Ltd,[Kenneth_Tan]
1128,Saturn Networks,[Blake_Ray]
1129,srask.ca,[Shamus_Rask]
1130,"Redfish Solutions, LLC",[Philip_Prindeville]
1131,Up and Running Technology Solutions,[Phil_Haddad]
1132,Medularis,[Nicolas_Brenner]
1133,Context M.I.S. SL,[Enrique_Mora]
1134,Colegio Universitario PIO XII,[Pedro_Pereira]
1135,"Djernes Organization, USA",[Shawn_L._Djernes]
1136,"Pangea Systems, LLC",[Aaron_Brown]
1137,EncoreNetwork,[Zhao_Liu]
1138,"ISSIMEDIASYSTEMS, S.L.U.",[Bruce_Calder]
1139,CyberArchitect Inc.,[Sanjay_Madgal]
1140,Digital Dynamics,[Howard_Hammond]
1141,Tressler.us,[Joshua_A_Tressler]
1142,"Futuresync Technology, LLC",[Steve_Frazier]
1143,Technologies HumanWare Inc.,[Serge_Pelletier]
1144,Alpha Computer Group,[Joseph_Scaffa]
1145,slottved.org,[Bent_Slottved]
1146,Northwest Regional Education Service District,[Jonathan_Thurman]
1147,Simwood eSMS Limited,[Simon_Woodhead]
1148,Petr Man,[Petr_Man]
1149,VCC Marketing Solutions,[Wayde_White]
1150,El Rancho Market,[Alfred_Holzheu]
1151,Universidad Galileo,[Otto_Solares]
1152,"Outcome Engineering, LLC",[Mike_Eber]
1153,bero.ca,[Yannick_Bergeron]
1154,iayai.com,[Dan_Freeman]
1155,James O Riggins Jr,[James_O_Riggins_Jr]
1156,jasonjgw.net,[Jason_White]
1157,ostjournal.net,[Jeff_Howe]
1158,Call Line . net,[J._Anil_Kumar_2]
1159,lukicweb,[Milan_Lukic]
1160,Jeremy Berner,[Jeremy_Berner]
1161,Diana Eichert,[Diana_Eichert]
1162,Rais Hassan Saadi,[J._Anil_Kumar_3]
1163,Johnston Communications,[Evan_Gottlieb]
1164,Associacao de Municipios do Vale do Ave,[Pedro_Pereira]
1165,Camara Municipal de Guimaraes,[Pedro_Pereira]
1166,Municipio da Trofa,[Pedro_Pereira]
1167,Camara Municipal da Povoa de Lanhoso,[Pedro_Pereira]
1168,"Municipio de Vieira do Minho, Praça Guilherme de Abreu",[Pedro_Pereira]
1169,"Municipio de Vila Nova de Famalicao, Praça Alvaro Marques",[Pedro_Pereira]
1170,"Municipio de Mondim de Basto, Largo Conde Vila Real",[Pedro_Pereira]
1171,Camara Municipal de Cabeceiras de Basto,[Pedro_Pereira]
1172,Christian Knauber,[Christian_Knauber]
1173,BG Spirit,[Yavor_Dinkov_Karamfilov]
1174,All In One Online Services Ltd.,[Chris_Christou]
1175,Steve Clark,[Steve_Clark]
1176,"21st Century Laboratories, LLC",[Kevin_Harger]
1177,"Inertia Turbines, LLC",[Marilyn_Harger]
1178,Jason Cotton,[Jason_Cotton]
1179,JasonsRealm.com,[Jason_Stubitsch]
1180,IP Convergence,[Marc-Antoine_Lemaire]
1181,Telmi Communication AB,[Kristofer_Signer]
1182,Geert Bollen,[Geert_Bollen]
1183,sharedcom.com,[Timothy_Ingalls]
1184,ideadynamics.net,[Timothy_Ingalls_2]
1185,Andrew Bernardo,[Andrew_Bernardo]
1186,Chris Castle,[Chris_Castle]
1187,Cotiledonea.com,[Ivan_Verstraeten]
1188,Aladje Balde,[Aladje_Balde]
1189,Iubar,[Andrea_Borgogelli_Avveduti]
1190,Câmara Municipal de Angra do Heroísmo,[Pedro_Pereira]
1191,Phillip Salzman,[Phillip_Salzman]
1192,IT Integrity,[Peter_Fagans]
1193,Larry Brower,[Larry_Brower]
1194,Mariano Javier Martin,[Mariano_Javier_Martin]
1195,Insight Marche Be.com,[Peter_Paul]
1196,Ribatel Comunicações,[Eduardo_Azevedo]
1197,Askew Network Solutions,[Jerry_Askew]
1198,The Harris Family,[Rob_Harris]
1199,7 Degrees,[Antoine_van_Gelder]
1200,Havard Sorli,[Havard_Sorli]
1201,Robert Starmer,[Robert_Starmer]
1202,"Ralph Green, Jr.",[Ralph_Green]
1203,Stephen Llewellyn Song,[Stephen_Song]
1204,Lew Pitcher,[Lew_Pitcher]
1205,Alexander Chemeris,[Alexander_Chemeris]
1206,Arthur J. Lekstutis,[Arthur_J._Lekstutis]
1207,Dabba Telecommunications,[Rael_Lissoos]
1208,Inter-node,[Richard_Lussier]
1209,Cooperatieve Vereniging VraagAlex,[Albert_Paijmans]
1210,"Teatro Nacional de São João, Praça da Batalha",[Pedro_Pereira]
1211,"Barracuda Networks, Inc.",[Raymond_Chandler_3]
1212,AER International,[Michael_Schloh_von_Bennewitz]
1213,"TAG Computer Consultants, Inc.",[Jeff_McCarty]
1214,Mike Zavolas,[Michael_Zavolas]
1215,SS Wanni Arachchige,[SS_Wanni_Arachchige]
1216,DarkVoip,[Daniel_Carll]
1217,Île Sans Fil,[Richard_Lussier_2]
1218,CHECCHI.NET,[Pierluigi_Checchi]
1219,SIPSorcery Ltd,[Aaron_Clauson]
1220,Michael Nipperess,[Michael_Nipperess]
1221,Stephen Brown,[Stephen_Brown]
1222,Terry McFadden,[Terry_McFadden]
1223,Roberto Avila,[Roberto_Avila]
1224,Gregory Gaskill,[Gregory_Gaskill]
1225,Optryx Group,[David_Baum]
1226,Richard Neese,[Richard_Neese]
1227,"Cartis Solutions, Inc.",[Yossi_Neiman]
1228,"Turn 11 Networks, Inc.",[Shawn_Westerhoff]
1229,Linuxwurx,[Glen_Millard]
1230,VoipTek,[Jeroen_van_der_Minnen]
1231,ICThUS Technologies,[Lynn_V._Berry]
1232,Michael Humphrey,[Michael_Humphrey]
1233,Telecats BV,[J.W._Mulder]
1234,Lupercalia Software,[David_Reuteler]
1235,Polybeacon,[Paul_Belanger]
1236,Gateway Strategic Consultancy Services S.L.,[Angel_Marin]
1237,Globe Valley Pty Ltd,[Sebastian_Hegarty]
1238,Ken White,[Kenneth_White]
1239,JD Dupre,[JD_Dupre]
1240,Steve Smith,[Steve_Smith]
1241,Zeetalk Limited,[Yakout_Esmat]
1242,Dan Cusick,[Dan_Cusick]
1243,Mon Palais Limited,[Ghada_Ibrahim]
1244,Louis Mamakos,[Louis_Mamakos]
1245,Dynaceron LLC,[Bora_Ismen]
1246,Ken Livingston,[Ken_Livingston]
1247,Deepak Gupta,[Deepak_Gupta]
1248,Ron Selvey,[Ron_Selvey]
1249,Marc MacDonald,[Marc_MacDonald]
1250,PointCA Télécom,[Jimmy_Godbout_2]
1251,Telmax,[Jimmy_Godbout_2]
1252,VoiceByIP Solutions,[Isaac_McDonald]
1253,GetVocal Inc.,[Chris_Matthieu]
1254,G Davenport,[G_Davenport]
1255,Eris Associates Limited,[M_Jagdis]
1256,Cogini Hong Kong Limited,[Jake_Morrison]
1257,Sound Choice Communications LLC,[Eric_Osterberg]
1258,"Sage Craftsmen, LLC",[Paul_Herron]
1259,Brent Weatherall,[Brent_Weatherall]
1260,Wevad Consulting Group,[David_Ward]
1261,"Verendus, LLC",[Verendus_LLC]
1262,Peter Marks,[Peter_Marks]
1263,Paul Murray,[Paul_Murray]
1264,"Wireless Mundi
                Edificio Tajo, Campus Univ. de Caceres",[Enrique_Cimadevila_Lage]
1265,"Phonewire, Inc.",[Matt_Rygelski]
1266,IT Net World Ltd,[Andy_Egli]
1267,delDSL Internet Pvt. Ltd.,[Lalit_Chandra_Mathur]
1268,Massapequa Telephone,[David_Haber]
1269,CJ Online Private Limited,[Rajesh_Chharia]
1270,Carlos Santiago,[Carlos_Santiago]
1271,"prkvw.com (Peninsula Foundation, San Francisco, CA)",[Anthony_McCarthy]
1272,The LEFT Group,[Jason_Miller]
1273,shifteight.org,[Leif_Madsen_2]
1274,Haider Taha,[Haider_Taha]
1275,Nuxis,[Mathias_Bøhn_Grytemark]
1276,Lorenzo Mangani,[Lorenzo_Mangani]
1277,Interlegis,[Vitor_Choi_Feitosa]
1278,Marshap,[Larry_Marshall]
1279,Hedson Alexandre,[Hedson_Alexandre]
1280,Paul daSilva,[Paul_daSilva]
1281,D.C. Everest Area Schools,[Cory_A._Jaeger]
1282,ENUMPlus,[Gregory_Meloche]
1283,TransGlobal Medical,[Tanner_McNeill]
1284,"American Interconnect Corp., DBA: Velocifi / Velociti",[D_Bruce_Curtis]
1285,TED Conference LLC,[John_Todd_3]
1286,Richard Highness,[Richard_Highness]
1287,Martin Spitzbarth,[Martin_Spitzbarth]
1288,Volker Sauer,[Volker_Sauer]
1289,Brian Chamberlain,[Brian_Chamberlain]
1290,Bold and Busted LLC,[Jesse_Adelman]
1291,Câmara Municipal de Castelo de Paiva,[Pedro_Pereira]
1292,Câmara Municipal de Felgueiras,[Pedro_Pereira]
1293,Câmara Municipal de Lousada,[Pedro_Pereira]
1294,Câmara Municipal de Paços de Ferreira,[Pedro_Pereira]
1295,Câmara Municipal de Paredes,[Pedro_Pereira]
1296,Câmara Municipal de Penafiel,[Pedro_Pereira]
1297,Jennifer Snow,[Jennifer_Snow]
1298,Bazic Blue,[Cas_Mollien]
1299,"Synaptyk, Inc.",[Ly_Tran]
1300,SECNAP Network Security Corp.,[Michael_Scheidell]
1301,Staffan Kerker,[Staffan_Kerker]
1302,Shaun Hannah,[Shaun_Hannah]
1303,Andrew Holden,[Andrew_Holden]
1304,Mapigeste Rio Maior,[Eduardo_Azevedo]
1305,Dan Buchanan,[Dan_Buchanan]
1306,Cartama Consulting LLC,[Mark_Willis]
1307,Vanyo Leonov,[Vanyo_Leonov]
1308,Inforcinco CSEI Lda,[Manuel_Mimoso]
1309,MilSpec Communication,[Richard_Lacroix]
1310,Matthias Breithaupt,[Matthias_Breithaupt]
1311,BroadTone Networks,[David_Jedda]
1312,Garrett County Government,[Nathaniel_Watkins]
1313,BG Spirit LLC,[Yavor_Dinkov_Karamfilov]
1314,"PAROQUIA DE VILA NOVA DE FOZ COA, PRAÇA DO MUNICIPIO",[Manuel_Mimoso]
1315,SANTA CASA DA MISERICORDIA DE FOZ COA,[Manuel_Mimoso]
1316,CLINICA STA CASA MISERICORDIA DE FOZ COA,[Manuel_Mimoso]
1317,Exaclean Lisboa,[Eduardo_Azevedo]
1318,Município de S. João da Pesqueira,[Pedro_Pereira]
1319,The Serval Project,[Paul_Gardner-Stephen]
1320,"FAMANVI, INC, Famanvi.com",[Franz_Garmendia_2]
1321,GMGroupEnterprises.com,[Franz_Garmendia_2]
1322,TVMision.com,[Pedro_Rivera]
1323,"5 Kings Marketing, LLC.",[Omar_Dalberry]
1324,Grupo SID,[Manuel_Chacon]
1325,Adolfo Delorenzo,[Adolfo_Delorenzo]
1326,Wolff Electronic Design,[Kirk_Wolff]
1327,Avant-Garde Solutions,[Mathieu_Rene]
1328,"Corporate West Computer Systems, Inc.",[Evan_Hall]
1329,Caldas Residence,[Eduardo_Azevedo]
1330,"Produtos Médico Hospitalares, S.A., Samora Correia",[Eduardo_Azevedo]
1331,Thomas Peterseil,[Thomas_Peterseil]
1332,St. Joseph's College,[James_Winter]
1333,ATM-SGPS S.A.,[Tiago_Nunes]
1334,"FREZITE – Ferramentas de Corte, S.A.",[Pedro_Pereira]
1335,2l2o,[Danny_Messano]
1336,Packet Foundry Corporation,[Peder_Angvall]
1337,Unassigned,
1338,"Emstar Solutions, LLC",[Jim_Canfield]
1339,MerLar,[Robert_Merchant_Larson_II]
1340,Ross Lindsay,[Ross_Lindsay]
1341,SN Informatica Ltda.,[Luiz_Mauricio_Barcelos_da_Silva]
1342,Comissão de Coordenação e Desenvolvimento Regional do Norte - Braga,[Pedro_Pereira]
1343,Comissão de Coordenação e Desenvolvimento Regional do Norte - Bragança,[Pedro_Pereira]
1344,Comissão de Coordenação e Desenvolvimento Regional do Norte - Vila Real,[Pedro_Pereira]
1345,Estrutura de Missão do Douro - CCDR-N,[Pedro_Pereira]
1346,Heath Technologies,[Chris_Heath]
1347,bryang.org,[Bryan_Greenawalt]
1348,Anakut Inc.,[Sothyvorn_Ok]
1349,Adam Pierce,[Adam_Pierce]
